"","police_call_crime","police_call_address_display","police_call_date","block","street","address","longitude","latitude"
"6873","Larceny","700  Pond St","9/30/2015",700,"POND ST","700  POND ST ",-76.1501065740586,43.0677925516235
"6874","Larceny","500  S State St","9/30/2015",500,"S STATE ST","500  S STATE ST ",-76.1474772895148,43.0475183539934
"6875","Larceny","100  Westwood Rd","9/30/2015",100,"WESTWOOD RD","100  WESTWOOD RD ",-76.1965174038898,43.0263183534993
"6876","Larceny","200  Alton St","9/30/2015",200,"ALTON ST","200  ALTON ST ",-76.1956813391393,43.0234081190446
"6877","Larceny","700  S Beech St","9/30/2015",700,"S BEECH ST","700  S BEECH ST ",-76.1219175903398,43.0424120805392
"6878","Robbery","700  First North St","9/30/2015",700,"FIRST NORTH ST","700  FIRST NORTH ST ",-76.148962125934,43.0693624256203
"6879","Vehicle theft","100  Lydell St","9/30/2015",100,"LYDELL ST","100  LYDELL ST ",-76.1786378406537,43.0387570808029
"6880","Burglary","800  Burnet Av","9/29/2015",800,"BURNET AVE","800  BURNET AV ",-76.1300909087891,43.0520592062509
"6881","Burglary","900  Westcott St","9/29/2015",900,"WESTCOTT ST","900  WESTCOTT ST ",-76.1188419491026,43.0354872871719
"6882","Burglary","100  E Colvin St","9/29/2015",100,"E COLVIN ST","100  E COLVIN ST ",-76.1452890552487,43.0255316141495
"6883","Burglary","500  Wilkinson St","9/29/2015",500,"WILKINSON ST","500  WILKINSON ST ",-76.1706745156521,43.0510237922465
"6884","Larceny","0  Destiny Usa Dr","9/29/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"6885","Larceny","100  Edgewood Av","9/29/2015",100,"EDGEWOOD AVE","100  EDGEWOOD AV ",-76.1651468635414,43.0176890438241
"6886","Larceny","600  Butternut St","9/29/2015",600,"BUTTERNUT ST","600  BUTTERNUT ST ",-76.1469777874171,43.0598741166888
"6887","Larceny","700  Irving Av","9/29/2015",700,"IRVING AVE","700  IRVING AV ",-76.1378363664705,43.0426740187497
"6888","Larceny","4100  S Salina St","9/29/2015",4100,"S SALINA ST","4100  S SALINA ST ",-76.1425438631157,43.0088377895103
"6889","Larceny","1700  Court St","9/29/2015",1700,"COURT ST","1700  COURT ST ",-76.1446977522263,43.0792860606143
"6890","Larceny","500  Pond St","9/29/2015",500,"POND ST","500  POND ST ",-76.1515233073699,43.065900727615
"6891","Larceny","0  Destiny Usa Dr","9/29/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"6892","Larceny","800  Wadsworth St","9/29/2015",800,"WADSWORTH ST","800  WADSWORTH ST ",-76.1395021927337,43.077804035565
"6893","Larceny","700  First North St","9/29/2015",700,"FIRST NORTH ST","700  FIRST NORTH ST ",-76.148962125934,43.0693624256203
"6894","Robbery","300  Hunt Av","9/29/2015",300,"HUNT AVE","300  HUNT AV ",-76.155738084416,43.0209364035763
"6896","Aggravated assault","700  Spring St","9/28/2015",700,"SPRING ST","700  SPRING ST ",-76.1498380683742,43.0681641413389
"6897","Aggravated assault","0  Destiny Usa Dr","9/28/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"6898","Burglary","600  Walnut Av","9/28/2015",600,"WALNUT AVE","600  WALNUT AV ",-76.1321449078932,43.0453270138265
"6899","Burglary","1400  N Salina St","9/28/2015",1400,"N SALINA ST","1400  N SALINA ST ",-76.1605990820305,43.0679871087858
"6900","Burglary","100  Grant Av","9/28/2015",100,"GRANT AVE","100  GRANT AV ",-76.1728691393266,43.0319300871821
"6901","Burglary","100  Berwyn Av","9/28/2015",100,"BERWYN AVE","100  BERWYN AV ",-76.1391982736867,43.026196378681
"6902","Burglary","1500  S Geddes St","9/28/2015",1500,"S GEDDES ST","1500  S GEDDES ST ",-76.1754595194803,43.032827636737
"6903","Burglary","800  E Washington St","9/28/2015",800,"E WASHINGTON ST","800  E WASHINGTON ST ",-76.1399162543976,43.0494337088977
"6904","Larceny","400  Solar St","9/28/2015",400,"SOLAR ST","400  SOLAR ST ",-76.1611874848865,43.0611555822852
"6905","Larceny","100  S Warren St","9/28/2015",100,"S WARREN ST","100  S WARREN ST ",-76.1507633258196,43.0508898120535
"6906","Larceny","700  First North St","9/28/2015",700,"FIRST NORTH ST","700  FIRST NORTH ST ",-76.148962125934,43.0693624256203
"6907","Larceny","0  Destiny Usa Dr","9/28/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"6908","Larceny","0  Destiny Usa Dr","9/28/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"6909","Larceny","700  Maryland Av","9/28/2015",700,"MARYLAND AVE","700  MARYLAND AV ",-76.120466998956,43.0385030765109
"6910","Larceny","400  Park Av","9/28/2015",400,"PARK AVE","400  PARK AV ",-76.1631212799288,43.0520248088085
"6911","Larceny","900  Glenwood Av","9/28/2015",900,"GLENWOOD AVE","900  GLENWOOD AV ",-76.1739195035085,43.0194153986465
"6912","Robbery","100  Griffiths St","9/28/2015",100,"GRIFFITHS ST","100  GRIFFITHS ST ",-76.1433338769611,43.0681906788335
"6913","Vehicle theft","4700  S Salina St","9/28/2015",4700,"S SALINA ST","4700  S SALINA ST ",-76.1428149431084,43.0020694967977
"6914","Aggravated assault","400  South Av","9/27/2015",400,"SOUTH AVE","400  SOUTH AV ",-76.158912774041,43.0353246691612
"6915","Aggravated assault","100  Stewart Ct","9/27/2015",100,"STEWART CT","100  STEWART CT ",-76.1431391407454,43.0411957183137
"6916","Aggravated assault","200  Park St","9/27/2015",200,"PARK ST","200  PARK ST ",-76.1349786431567,43.0632952269625
"6917","Aggravated assault","200  Erie Blvd E","9/27/2015",200,"ERIE BLVD E","200  ERIE BLVD E ",-76.1507633258196,43.0508898120535
"6918","Burglary","2300  S Salina St","9/27/2015",2300,"S SALINA ST","2300  S SALINA ST ",-76.1449661401535,43.0248584718146
"6919","Burglary","100  Ballantyne Rd","9/27/2015",100,"BALLANTYNE RD","100  BALLANTYNE RD ",-76.1421660170882,43.0107095503917
"6920","Burglary","2600  S Salina St","9/27/2015",2600,"S SALINA ST","2600  S SALINA ST ",-76.1437477178151,43.0222961687418
"6921","Burglary","400  Dewitt St","9/27/2015",400,"DEWITT ST","400  DEWITT ST ",-76.1339407842783,43.0644268933632
"6922","Burglary","1200  N Glencove Rd","9/27/2015",1200,"N GLENCOVE RD","1200  N GLENCOVE RD ",-76.0969119856158,43.0649283345614
"6923","Burglary","300  W Seneca Tpke","9/27/2015",300,"W SENECA TPKE","300  W SENECA TPKE ",-76.1506972162168,43.0017327651077
"6924","Burglary","200  Grumbach Av","9/27/2015",200,"GRUMBACH AVE","200  GRUMBACH AV ",-76.1395941612484,43.0641461669292
"6925","Larceny","300  Ostrom Av","9/27/2015",300,"OSTROM AVE","300  OSTROM AV ",-76.1288945667208,43.0441387626268
"6926","Larceny","0  Destiny Usa Dr","9/27/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"6927","Larceny","100  Edna Rd","9/27/2015",100,"EDNA RD","100  EDNA RD ",-76.1422828402538,42.9851167447855
"6928","Larceny","2500  Erie Blvd E","9/27/2015",2500,"ERIE BLVD E","2500  ERIE BLVD E ",-76.1040887365649,43.0535201241854
"6929","Larceny","2400  James St","9/27/2015",2400,"JAMES ST","2400  JAMES ST ",-76.1127510756098,43.0685482101259
"6930","Larceny","2500  Erie Blvd E","9/27/2015",2500,"ERIE BLVD E","2500  ERIE BLVD E ",-76.1040887365649,43.0535201241854
"6931","Larceny","1200  Butternut St","9/27/2015",1200,"BUTTERNUT ST","1200  BUTTERNUT ST ",-76.1433439278147,43.0663969959583
"6932","Larceny","900  Walnut Av","9/27/2015",900,"WALNUT AVE","900  WALNUT AV ",-76.1322305551288,43.0415806032934
"6933","Larceny","900  Lancaster Av","9/27/2015",900,"LANCASTER AVE","900  LANCASTER AV ",-76.1229473818441,43.0342895720028
"6934","Larceny","600  S Salina St","9/27/2015",600,"S SALINA ST","600  S SALINA ST ",-76.1515370003899,43.0427677089425
"6935","Robbery","200  Gifford St","9/27/2015",200,"GIFFORD ST","200  GIFFORD ST ",-76.1561288285596,43.0435452400541
"6936","Robbery","1300  Butternut St","9/27/2015",1300,"BUTTERNUT ST","1300  BUTTERNUT ST ",-76.1433296972061,43.068477148035
"6937","Robbery","700  W Onondaga St","9/27/2015",700,"W ONONDAGA ST","700  W ONONDAGA ST ",-76.162221684834,43.0370589999232
"6938","Vehicle theft","100  Lafayette Rd","9/27/2015",100,"LAFAYETTE RD","100  LAFAYETTE RD ",-76.1291982498981,43.0012270241094
"6939","Aggravated assault","100  Village Dr","9/26/2015",100,"VILLAGE DR","100  VILLAGE DR ",-76.1181346977529,43.070687413129
"6940","Aggravated assault","100  Hudson St","9/26/2015",100,"HUDSON ST","100  HUDSON ST ",-76.1601595417722,43.0360060907968
"6941","Aggravated assault","200  Lincoln Av","9/26/2015",200,"LINCOLN AVE","200  LINCOLN AV ",-76.1571189025943,43.0362893384717
"6942","Burglary","300  Hawley Av","9/26/2015",300,"HAWLEY AVE","300  HAWLEY AV ",-76.1420648335596,43.0533299362022
"6943","Larceny","300  S Geddes St","9/26/2015",300,"S GEDDES ST","300  S GEDDES ST ",-76.1710268790392,43.0447361238871
"6944","Larceny","500  Euclid Av","9/26/2015",500,"EUCLID AVE","500  EUCLID AV ",-76.12566362853,43.0364835460614
"6945","Larceny","200  Lilac St","9/26/2015",200,"LILAC ST","200  LILAC ST ",-76.1528905765548,43.064076574773
"6946","Larceny","0  Destiny Usa Dr","9/26/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"6947","Vehicle theft","1200  W Onondaga St","9/26/2015",1200,"W ONONDAGA ST","1200  W ONONDAGA ST ",-76.1725106566568,43.0340335097892
"6948","Vehicle theft","100  Clarendon St","9/26/2015",100,"CLARENDON ST","100  CLARENDON ST ",-76.1283199651782,43.0379830178116
"6949","Aggravated assault","200  Crippen Av","9/25/2015",200,"CRIPPEN AVE","200  CRIPPEN AV ",-76.1441238692976,43.0037742064661
"6950","Aggravated assault","700  E Genesee St","9/25/2015",700,"E GENESEE ST","700  E GENESEE ST ",-76.1421742111772,43.0470872041987
"6951","Aggravated assault","200  Fitch St","9/25/2015",200,"FITCH ST","200  FITCH ST ",-76.1692198314232,43.0362349370267
"6952","Burglary","1000  W Genesee St","9/25/2015",1000,"W GENESEE ST","1000  W GENESEE ST ",-76.1705542199292,43.0536571231732
"6953","Larceny","800  Madison St","9/25/2015",800,"MADISON ST","800  MADISON ST ",-76.1365856496702,43.0453656815498
"6954","Larceny","200  N Crouse Av","9/25/2015",200,"N CROUSE AVE","200  N CROUSE AV ",-76.1364154027041,43.0521715127349
"6955","Larceny","200  W Division St","9/25/2015",200,"W DIVISION ST","200  W DIVISION ST ",-76.1568133852103,43.059457609769
"6956","Larceny","100  S Collingwood Av","9/25/2015",100,"S COLLINGWOOD AVE","100  S COLLINGWOOD AV ",-76.1075331367087,43.0687964893342
"6957","Larceny","300  Farmer St","9/25/2015",300,"FARMER ST","300  FARMER ST ",-76.1339407842783,43.0644268933632
"6958","Larceny","100  S Salina St","9/25/2015",100,"S SALINA ST","100  S SALINA ST ",-76.1521708073297,43.0508871327153
"6959","Larceny","300  S Salina St","9/25/2015",300,"S SALINA ST","300  S SALINA ST ",-76.1522226474308,43.0486918177446
"6960","Vehicle theft","100  Remington Av","9/25/2015",100,"REMINGTON AVE","100  REMINGTON AV ",-76.1332463586678,43.0185527267954
"6961","Aggravated assault","200  N West St","9/24/2015",200,"N WEST ST","200  N WEST ST ",-76.1591144357964,43.0510043030121
"6962","Aggravated assault","2400  S State St","9/24/2015",2400,"S STATE ST","2400  S STATE ST ",-76.14169269402,43.0224110565402
"6963","Aggravated assault","100  Gifford St","9/24/2015",100,"GIFFORD ST","100  GIFFORD ST ",-76.1532631447548,43.0436363851758
"6964","Aggravated assault","500  Cortland Av","9/24/2015",500,"CORTLAND AVE","500  CORTLAND AV ",-76.1559874265199,43.0299329761344
"6965","Aggravated assault","100  Taft Av","9/24/2015",100,"TAFT AVE","100  TAFT AV ",-76.114703778179,43.0724501529615
"6966","Burglary","200  Rich St","9/24/2015",200,"RICH ST","200  RICH ST ",-76.1615355109865,43.0357973073755
"6967","Burglary","600  S Beech St","9/24/2015",600,"S BEECH ST","600  S BEECH ST ",-76.1235380962497,43.0436333653724
"6968","Larceny","300  Holland St","9/24/2015",300,"HOLLAND ST","300  HOLLAND ST ",-76.1644178803594,43.0372220799597
"6969","Larceny","0  Destiny Usa Dr","9/24/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"6970","Larceny","0  Destiny Usa Dr","9/24/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"6971","Larceny","100  Warham St","9/24/2015",100,"WARHAM ST","100  WARHAM ST ",-76.1430612493005,43.0710763189037
"6972","Larceny","0  Destiny Usa Dr","9/24/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"6973","Larceny","700  First North St","9/24/2015",700,"FIRST NORTH ST","700  FIRST NORTH ST ",-76.148962125934,43.0693624256203
"6974","Larceny","0  Destiny Usa Dr","9/24/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"6975","Larceny","600  Catherine St","9/24/2015",600,"CATHERINE ST","600  CATHERINE ST ",-76.1444037492439,43.0566056093948
"6976","Larceny","100  Plum St","9/24/2015",100,"PLUM ST","100  PLUM ST ",-76.16049957729,43.0500578841014
"6977","Larceny","1000  E Genesee St","9/24/2015",1000,"E GENESEE ST","1000  E GENESEE ST ",-76.1365486000593,43.046864029318
"6978","Larceny","300  Wendell Ter","9/24/2015",300,"WENDELL TER","300  WENDELL TER ",-76.1297185923451,43.0682662270971
"6979","Larceny","300  Wendell Ter","9/24/2015",300,"WENDELL TER","300  WENDELL TER ",-76.1297185923451,43.0682662270971
"6980","Larceny","300  W Fayette St","9/24/2015",300,"W FAYETTE ST","300  W FAYETTE ST ",-76.1555180183079,43.0487144616953
"6981","Larceny","100  Comstock Av","9/24/2015",100,"COMSTOCK AVE","100  COMSTOCK AV ",-76.1307789858025,43.0469494244525
"6982","Larceny","500  Carbon St","9/24/2015",500,"CARBON ST","500  CARBON ST ",-76.1482096592377,43.0660074654461
"6983","Vehicle theft","1000  Canal St","9/24/2015",1000,"CANAL ST","1000  CANAL ST ",-76.1250921682421,43.0515557140483
"6984","Aggravated assault","100  Hope Av","9/23/2015",100,"HOPE AVE","100  HOPE AV ",-76.1524868466429,43.0238067256162
"6985","Burglary","200  Fitch St","9/23/2015",200,"FITCH ST","200  FITCH ST ",-76.1692198314232,43.0362349370267
"6986","Larceny","200  Ulster St","9/23/2015",200,"ULSTER ST","200  ULSTER ST ",-76.1813672991383,43.049691589297
"6987","Larceny","0  Destiny Usa Dr","9/23/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"6988","Larceny","0  Destiny Usa Dr","9/23/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"6989","Larceny","400  Montgomery St","9/23/2015",400,"MONTGOMERY ST","400  MONTGOMERY ST ",-76.1487621501191,43.0470306656881
"6990","Larceny","1500  S Salina St","9/23/2015",1500,"S SALINA ST","1500  S SALINA ST ",-76.148279174954,43.0318349473845
"6991","Larceny","100  Essex St","9/23/2015",100,"ESSEX ST","100  ESSEX ST ",-76.1927916945648,43.0567773364555
"6992","Larceny","900  James St","9/23/2015",900,"JAMES ST","900  JAMES ST ",-76.1386272183664,43.0572024200134
"6993","Larceny","0  Destiny Usa Dr","9/23/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"6994","Larceny","300  Oswego St","9/23/2015",300,"OSWEGO ST","300  OSWEGO ST ",-76.1648038897272,43.0452047136921
"6995","Robbery","500  W Colvin St","9/23/2015",500,"W COLVIN ST","500  W COLVIN ST ",-76.1508576268379,43.0241942093147
"6996","Aggravated assault","100  Lincoln Av","9/22/2015",100,"LINCOLN AVE","100  LINCOLN AV ",-76.1573877469174,43.0393679297547
"6997","Arson","300  W Brighton Av","9/22/2015",300,"W BRIGHTON AVE","300  W BRIGHTON AV ",-76.1492852256358,43.0200223706288
"6998","Burglary","1400  E Genesee St","9/22/2015",1400,"E GENESEE ST","1400  E GENESEE ST ",-76.1298052312958,43.0469678671311
"6999","Burglary","1300  E Genesee St","9/22/2015",1300,"E GENESEE ST","1300  E GENESEE ST ",-76.1307789858025,43.0469494244525
"7000","Burglary","200  South Av","9/22/2015",200,"SOUTH AVE","200  SOUTH AV ",-76.1589917365522,43.0371095395898
"7001","Burglary","300  Bear St","9/22/2015",300,"BEAR ST","300  BEAR ST ",-76.1621045480879,43.0685961715064
"7002","Larceny","200  W Brighton Av","9/22/2015",200,"W BRIGHTON AVE","200  W BRIGHTON AV ",-76.1462179707471,43.020348208423
"7003","Larceny","800  Ackerman Av","9/22/2015",800,"ACKERMAN AVE","800  ACKERMAN AV ",-76.1243851504626,43.0365387974449
"7004","Larceny","0  Destiny Usa Dr","9/22/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"7005","Larceny","500  N Salina St","9/22/2015",500,"N SALINA ST","500  N SALINA ST ",-76.1520314571859,43.0577119310373
"7006","Larceny","4100  S Salina St","9/22/2015",4100,"S SALINA ST","4100  S SALINA ST ",-76.1425438631157,43.0088377895103
"7007","Larceny","200  Bradford Pkwy","9/22/2015",200,"BRADFORD PKWY","200  BRADFORD PKWY ",-76.106351749001,43.0403841604628
"7008","Larceny","100  Milton Av","9/22/2015",100,"MILTON AVE","100  MILTON AV ",-76.1855704984771,43.0465556160783
"7009","Larceny","200  W Jefferson St","9/22/2015",200,"W JEFFERSON ST","200  W JEFFERSON ST ",-76.1535701159911,43.0470632548416
"7010","Larceny","100  New St","9/22/2015",100,"NEW ST","100  NEW ST ",-76.1505830230431,43.040353698505
"7011","Larceny","100  Fage Av","9/22/2015",100,"FAGE AVE","100  FAGE AV ",-76.1471547031467,43.0238848612884
"7012","Larceny","0  Destiny Usa Dr","9/22/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"7013","Larceny","100  Gifford St","9/22/2015",100,"GIFFORD ST","100  GIFFORD ST ",-76.1532631447548,43.0436363851758
"7014","Larceny","600  S Salina St","9/22/2015",600,"S SALINA ST","600  S SALINA ST ",-76.1515370003899,43.0427677089425
"7015","Larceny","700  Van Rensselaer St","9/22/2015",700,"VAN RENSSELAER ST","700  VAN RENSSELAER ST ",-76.1660815767609,43.0586803841215
"7016","Robbery","100  Mary St","9/22/2015",100,"MARY ST","100  MARY ST ",-76.1511220469699,43.0621216106901
"7017","Vehicle theft","200  Mclennan Av","9/22/2015",200,"MCLENNAN AVE","200  MCLENNAN AV ",-76.148842165952,43.0282070447605
"7018","Vehicle theft","1400  Burnet Av","9/22/2015",1400,"BURNET AVE","1400  BURNET AV ",-76.1193903674886,43.0549680105015
"7019","Aggravated assault","700  Second North St","9/21/2015",700,"SECOND NORTH ST","700  SECOND NORTH ST ",-76.1608689135842,43.075710459519
"7020","Aggravated assault","300  Spring St","9/21/2015",300,"SPRING ST","300  SPRING ST ",-76.1467217953232,43.0663870401626
"7021","Burglary","4700  S Salina St","9/21/2015",4700,"S SALINA ST","4700  S SALINA ST ",-76.1428149431084,43.0020694967977
"7022","Burglary","100  E Lafayette Av","9/21/2015",100,"E LAFAYETTE AVE","100  E LAFAYETTE AV ",-76.1424966309017,43.0196523409856
"7023","Larceny","500  Hiawatha Blvd E","9/21/2015",500,"HIAWATHA BLVD E","500  HIAWATHA BLVD E ",-76.1632842604101,43.0751160366571
"7024","Larceny","300  S Salina St","9/21/2015",300,"S SALINA ST","300  S SALINA ST ",-76.1522226474308,43.0486918177446
"7026","Larceny","0  Destiny Usa Dr","9/21/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"7027","Larceny","0  Destiny Usa Dr","9/21/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"7028","Larceny","300  S Clinton St","9/21/2015",300,"S CLINTON ST","300  S CLINTON ST ",-76.1535626752591,43.0486947955081
"7029","Larceny","200  E Onondaga St","9/21/2015",200,"E ONONDAGA ST","200  E ONONDAGA ST ",-76.1508341279271,43.0456761021531
"7030","Larceny","1200  Midland Av","9/21/2015",1200,"MIDLAND AVE","1200  MIDLAND AV ",-76.1520707533143,43.0273936815197
"7031","Larceny","100  Bellaire Pl","9/21/2015",100,"BELLAIRE PL","100  BELLAIRE PL ",-76.1629241511991,43.0243255496203
"7032","Larceny","1300  E Adams St","9/21/2015",1300,"E ADAMS ST","1300  E ADAMS ST ",-76.1303716373965,43.0426170902635
"7033","Larceny","100  S Clinton St","9/21/2015",100,"S CLINTON ST","100  S CLINTON ST ",-76.1535425232873,43.0505451121208
"7034","Larceny","1800  E Fayette St","9/21/2015",1800,"E FAYETTE ST","1800  E FAYETTE ST ",-76.1190887626382,43.0482641294941
"7035","Vehicle theft","600  Catherine St","9/21/2015",600,"CATHERINE ST","600  CATHERINE ST ",-76.1444037492439,43.0566056093948
"7036","Aggravated assault","200  Markland Av","9/20/2015",200,"MARKLAND AVE","200  MARKLAND AV ",-76.1796006394283,43.0317126983362
"7037","Burglary","3400  Burnet Av","9/20/2015",3400,"BURNET AVE","3400  BURNET AV ",-76.0914045823242,43.061131918115
"7038","Burglary","100  Redfield Pl","9/20/2015",100,"REDFIELD PL","100  REDFIELD PL ",-76.123242609741,43.0375182337046
"7039","Burglary","400  Turtle St","9/20/2015",400,"TURTLE ST","400  TURTLE ST ",-76.1597262901054,43.0691337729615
"7040","Burglary","200  Sunset Av","9/20/2015",200,"SUNSET AVE","200  SUNSET AV ",-76.1588334285551,43.0646967417526
"7041","Burglary","100  Beecher St","9/20/2015",100,"BEECHER ST","100  BEECHER ST ",-76.1430314050609,43.0591519732082
"7042","Burglary","100  Redfield Pl","9/20/2015",100,"REDFIELD PL","100  REDFIELD PL ",-76.123242609741,43.0375182337046
"7043","Larceny","300  W Jefferson St","9/20/2015",300,"W JEFFERSON ST","300  W JEFFERSON ST ",-76.1555287185629,43.0475055246701
"7044","Larceny","1000  Milton Av","9/20/2015",1000,"MILTON AVE","1000  MILTON AV ",-76.1927916945648,43.0567773364555
"7045","Larceny","700  First North St","9/20/2015",700,"FIRST NORTH ST","700  FIRST NORTH ST ",-76.148962125934,43.0693624256203
"7046","Larceny","1400  Hawley Av","9/20/2015",1400,"HAWLEY AVE","1400  HAWLEY AV ",-76.1247455750583,43.0555767217691
"7047","Larceny","400  Westcott St","9/20/2015",400,"WESTCOTT ST","400  WESTCOTT ST ",-76.119556953392,43.0440207397304
"7048","Larceny","300  Hiawatha Blvd W","9/20/2015",300,"HIAWATHA BLVD W","300  HIAWATHA BLVD W ",-76.1688478574514,43.0688395329348
"7049","Larceny","100  Lincoln Av","9/20/2015",100,"LINCOLN AVE","100  LINCOLN AV ",-76.1573877469174,43.0393679297547
"7050","Vehicle theft","1600  Butternut St","9/20/2015",1600,"BUTTERNUT ST","1600  BUTTERNUT ST ",-76.1423972568125,43.0732654540523
"7051","Vehicle theft","100  Gebhardt Av","9/20/2015",100,"GEBHARDT AVE","100  GEBHARDT AV ",-76.1524896602602,43.0607977063456
"7052","Aggravated assault","1000  W Onondaga St","9/19/2015",1000,"W ONONDAGA ST","1000  W ONONDAGA ST ",-76.167071508797,43.0343860125371
"7053","Aggravated assault","300  Garfield Av","9/19/2015",300,"GARFIELD AVE","300  GARFIELD AV ",-76.14214145174,43.0283359472863
"7054","Aggravated assault","100  Riverdale Dr","9/19/2015",100,"RIVERDALE DR","100  RIVERDALE DR ",-76.1548980420046,43.0023051327543
"7055","Aggravated assault","200  W Lafayette Av","9/19/2015",200,"W LAFAYETTE AVE","200  W LAFAYETTE AV ",-76.1460396915876,43.019286675779
"7056","Burglary","4700  Onondaga Blvd","9/19/2015",4700,"ONONDAGA BLVD","4700  ONONDAGA BLVD ",-76.193647069205,43.0323248226591
"7057","Burglary","100  Pattison St","9/19/2015",100,"PATTISON ST","100  PATTISON ST ",-76.1282953049846,43.0602531815344
"7058","Burglary","700  W Onondaga St","9/19/2015",700,"W ONONDAGA ST","700  W ONONDAGA ST ",-76.162221684834,43.0370589999232
"7059","Larceny","0  Destiny Usa Dr","9/19/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"7060","Larceny","100  Erie Blvd E","9/19/2015",100,"ERIE BLVD E","100  ERIE BLVD E ",-76.1521708073297,43.0508871327153
"7061","Larceny","4100  S Salina St","9/19/2015",4100,"S SALINA ST","4100  S SALINA ST ",-76.1425438631157,43.0088377895103
"7062","Larceny","4100  S Salina St","9/19/2015",4100,"S SALINA ST","4100  S SALINA ST ",-76.1425438631157,43.0088377895103
"7063","Larceny","1700  W Onondaga St","9/19/2015",1700,"W ONONDAGA ST","1700  W ONONDAGA ST ",-76.1825840361169,43.0336682339035
"7064","Larceny","0  Destiny Usa Dr","9/19/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"7065","Larceny","0  Destiny Usa Dr","9/19/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"7066","Larceny","0  Destiny Usa Dr","9/19/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"7067","Larceny","100  Parkside Av","9/19/2015",100,"PARKSIDE AVE","100  PARKSIDE AV ",-76.1608533575869,43.0254146797949
"7068","Larceny","1200  Willis Av","9/19/2015",1200,"WILLIS AVE","1200  WILLIS AV ",-76.1967498599363,43.0588393950705
"7069","Larceny","4100  S Salina St","9/19/2015",4100,"S SALINA ST","4100  S SALINA ST ",-76.1425438631157,43.0088377895103
"7071","Larceny","200  Broadview Dr","9/19/2015",200,"BROADVIEW DR","200  BROADVIEW DR ",-76.201506417223,43.0254617894398
"7072","Larceny","900  Westmoreland Av","9/19/2015",900,"WESTMORELAND AVE","900  WESTMORELAND AV ",-76.1139617646101,43.0370555357858
"7073","Larceny","100  Marlborough Rd","9/19/2015",100,"MARLBOROUGH RD","100  MARLBOROUGH RD ",-76.1120166921695,43.0685859192916
"7074","Robbery","200  Grumbach Av","9/19/2015",200,"GRUMBACH AVE","200  GRUMBACH AV ",-76.1395941612484,43.0641461669292
"7075","Aggravated assault","300  Fitch St","9/18/2015",300,"FITCH ST","300  FITCH ST ",-76.1731904874964,43.037999807752
"7076","Aggravated assault","100  Ballantyne Rd","9/18/2015",100,"BALLANTYNE RD","100  BALLANTYNE RD ",-76.1421660170882,43.0107095503917
"7077","Aggravated assault","300  Fobes Av","9/18/2015",300,"FOBES AVE","300  FOBES AV ",-76.1116402999278,43.0735218377978
"7078","Aggravated assault","0  Destiny Usa Dr","9/18/2015",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"7079","Aggravated assault","500  Catherine St","9/18/2015",500,"CATHERINE ST","500  CATHERINE ST ",-76.1437795820529,43.0558205297897
"7080","Burglary","100  Lakeview Av","9/18/2015",100,"LAKEVIEW AVE","100  LAKEVIEW AV ",-76.1742549152954,43.0493270119451
"7081","Burglary","2500  James St","9/18/2015",2500,"JAMES ST","2500  JAMES ST ",-76.111362329404,43.0686134991173
"7082","Burglary","700  South Av","9/18/2015",700,"SOUTH AVE","700  SOUTH AV ",-76.1587806711096,43.0318533126621
