"","police_call_crime","police_call_address_display","police_call_date","block","street","address","longitude","latitude"
"2221","Larceny","500  Plymouth Dr","8/1/2016",500,"PLYMOUTH DR","500  PLYMOUTH DR ",-76.0983935008072,43.0621911673957
"2222","Larceny","600  Butternut St","8/1/2016",600,"BUTTERNUT ST","600  BUTTERNUT ST ",-76.1469777874171,43.0598741166888
"2223","Larceny","600  Valley Dr","8/1/2016",600,"VALLEY DR","600  VALLEY DR ",-76.157221909154,43.0108402465068
"2224","Larceny","700  S  Crouse Av","8/1/2016",700,"S CROUSE AVE","700  S  CROUSE AV ",-76.136643799394,43.0426662880795
"2226","Aggravated assault","1300  S  State St","7/31/2016",1300,"S STATE ST","1300  S  STATE ST ",-76.1471603311055,43.0355070478743
"2227","Aggravated assault","300  Kellogg St","7/31/2016",300,"KELLOGG ST","300  KELLOGG ST ",-76.1652885606613,43.0378652645979
"2228","Aggravated assault","500  Salt Springs Rd","7/31/2016",500,"SALT SPRINGS RD","500  SALT SPRINGS RD ",-76.1071747113675,43.0456622223055
"2229","Arson","200  Shonnard St","7/31/2016",200,"SHONNARD ST","200  SHONNARD ST ",-76.1603099579071,43.0415321205991
"2230","Burglary","2500  Grant Blvd","7/31/2016",2500,"GRANT BLVD","2500  GRANT BLVD ",-76.1498126237176,43.0740092439404
"2231","Larceny","100  Baker Av","7/31/2016",100,"BAKER AVE","100  BAKER AV ",-76.1446963621615,43.0313068481893
"2232","Larceny","1500  E  Fayette St","7/31/2016",1500,"E FAYETTE ST","1500  E  FAYETTE ST ",-76.1255743417278,43.0483468186295
"2233","Larceny","1500  Lemoyne Av","7/31/2016",1500,"LEMOYNE AVE","1500  LEMOYNE AV ",-76.1505499455265,43.0820257564098
"2234","Larceny","200  W  Jefferson St","7/31/2016",200,"W JEFFERSON ST","200  W  JEFFERSON ST ",-76.1535701159911,43.0470632548416
"2235","Larceny","2500  Erie Blvd E","7/31/2016",2500,"ERIE BLVD E","2500  ERIE BLVD E ",-76.1040887365649,43.0535201241854
"2236","Larceny","400  W  Brighton Av","7/31/2016",400,"W BRIGHTON AVE","400  W  BRIGHTON AV ",-76.1509659512125,43.0198448873663
"2237","Larceny","500  Clarendon St","7/31/2016",500,"CLARENDON ST","500  CLARENDON ST ",-76.1233061082975,43.0383447362043
"2238","Larceny","500  S  Warren St","7/31/2016",500,"S WARREN ST","500  S  WARREN ST ",-76.1508373421569,43.0454786770633
"2239","Robbery","2000  Lodi St","7/31/2016",2000,"LODI ST","2000  LODI ST ",-76.1534129461714,43.0633619887946
"2240","Aggravated assault","300  Sunset Av","7/30/2016",300,"SUNSET AVE","300  SUNSET AV ",-76.1604206175763,43.0654067546652
"2242","Burglary","1000  W  Belden Av","7/30/2016",1000,"W BELDEN AVE","1000  W  BELDEN AV ",-76.1676610232411,43.0549410517118
"2243","Burglary","200  Evaleen Av","7/30/2016",200,"EVALEEN AVE","200  EVALEEN AV ",-76.1515634810114,43.0102198159833
"2244","Burglary","200  Kenmore Av","7/30/2016",200,"KENMORE AVE","200  KENMORE AV ",-76.152104958176,43.0169873130226
"2245","Burglary","300  Comstock Av","7/30/2016",300,"COMSTOCK AVE","300  COMSTOCK AV ",-76.1305231843898,43.0441503568334
"2246","Burglary","300  Oswego St","7/30/2016",300,"OSWEGO ST","300  OSWEGO ST ",-76.1648038897272,43.0452047136921
"2247","Burglary","400  W  Ostrander Av","7/30/2016",400,"W OSTRANDER AVE","400  W  OSTRANDER AV ",-76.1479925339079,43.0139644712051
"2248","Burglary","900  Lemoyne Av","7/30/2016",900,"LEMOYNE AVE","900  LEMOYNE AV ",-76.1583955626163,43.0762925963018
"2249","Larceny","0  Destiny Usa Dr","7/30/2016",0,"DESTINY USA DR","0  DESTINY USA DR ",-76.1705399139529,43.0669121360696
"2251","Larceny","100  Clarendon St","7/30/2016",100,"CLARENDON ST","100  CLARENDON ST ",-76.1283199651782,43.0379830178116
"2252","Larceny","100  Clarendon St","7/30/2016",100,"CLARENDON ST","100  CLARENDON ST ",-76.1283199651782,43.0379830178116
